// model: y = a + b * sin(x) * cos(2.5*x) + eps
(0.0, 100.05)
(0.25, 120.014)
(0.5, 115.167)
(0.75, 79.5326)
(1.0, 27.7407)
(1.25, 5.0646)
(1.5, 18.1996)
(1.75, 67.3777)
(2.0, 125.843)
(2.25, 161.504)
(2.5, 159.864)
(2.75, 131.625)
(3.0, 104.942)
(3.25, 102.847)
(3.5, 127.441)
(3.75, 157.035)
(4.0, 163.551)
(4.25, 132.362)
(4.5, 75.4466)
(4.75, 22.9672)
(5.0, 4.3687)
(5.25, 27.1139)
(5.5, 73.4112)
(5.75, 111.925)
(6.0, 121.277)
(6.25, 103.257)
(6.5, 81.6215)
(6.75, 82.2687)
(7.0, 114.467)
(7.25, 161.582)
(7.5, 193.386)
(7.75, 185.993)
(8.0, 140.424)
(8.25, 81.2006)
(8.5, 41.1461)
(8.75, 37.8985)
(9.0, 64.0595)
(9.25, 92.5915)
(9.5, 98.6451)
(9.75, 76.7404)
